txn_id,date_id,account_id,txn_direction,source_type,source_id,amount,other_type
42,20220131,1,OUTFLOW,BILL,21,1495.92,
43,20220201,1,INFLOW,INVOICE,22,26181.72,
44,20220202,1,INFLOW,INVOICE,23,12480.65,
45,20220210,1,INFLOW,INVOICE,24,11620.19,
46,20220211,1,INFLOW,INVOICE,25,4265.48,
47,20220214,1,INFLOW,INVOICE,26,1505.54,
48,20220310,1,INFLOW,INVOICE,27,35049.84,
49,20220209,1,INFLOW,INVOICE,28,35537.44,
50,20220210,1,INFLOW,INVOICE,29,15446.82,
51,20220211,1,INFLOW,INVOICE,30,6378.67,
52,20220214,1,INFLOW,INVOICE,31,6617.78,
53,20220317,1,INFLOW,INVOICE,32,19942.13,
54,20220318,1,INFLOW,INVOICE,33,35034.03,
55,20220304,1,INFLOW,INVOICE,34,33601.84,
56,20220218,1,INFLOW,INVOICE,35,23317.46,
57,20220323,1,INFLOW,INVOICE,36,15826.43,
58,20220309,1,INFLOW,INVOICE,37,1354.03,
59,20220302,1,INFLOW,INVOICE,38,2715.93,
60,20220303,1,INFLOW,INVOICE,39,35251.76,
61,20220304,1,INFLOW,INVOICE,40,14365.71,
62,20220307,1,INFLOW,INVOICE,41,142.34,
63,20220216,1,OUTFLOW,BILL,22,4915.51,
64,20220304,1,OUTFLOW,BILL,23,21911.23,
65,20220305,1,OUTFLOW,BILL,24,9816.84,
66,20220306,1,OUTFLOW,BILL,25,15589.71,
67,20220214,1,OUTFLOW,BILL,26,6874.75,
68,20220310,1,OUTFLOW,BILL,27,8466.58,
69,20220216,1,OUTFLOW,BILL,28,6676.49,
70,20220217,1,OUTFLOW,BILL,29,2138.06,
71,20220313,1,OUTFLOW,BILL,30,12616.48,
72,20220301,1,OUTFLOW,BILL,31,3244.06,
73,20220302,1,OUTFLOW,BILL,32,242.3,
74,20220223,1,OUTFLOW,BILL,33,10206.96,
75,20220217,1,OUTFLOW,BILL,34,1918.75,
76,20220218,1,OUTFLOW,BILL,35,27768.14,
77,20220323,1,OUTFLOW,BILL,36,30292.68,
78,20220324,1,OUTFLOW,BILL,37,24248.52,
79,20220310,1,OUTFLOW,BILL,38,4550.33,
80,20220303,1,OUTFLOW,BILL,39,153.33,
81,20220304,1,OUTFLOW,BILL,40,25941.66,
82,20220307,1,OUTFLOW,BILL,41,5501.67,
83,20220308,1,INFLOW,INVOICE,42,1817.31,
84,20220317,1,INFLOW,INVOICE,43,9878.36,
85,20220402,1,INFLOW,INVOICE,44,19654.29,
86,20220311,1,INFLOW,INVOICE,45,3251.33,
87,20220307,1,INFLOW,INVOICE,46,13042.07,
88,20220308,1,INFLOW,INVOICE,47,1193.06,
89,20220309,1,INFLOW,INVOICE,48,709.66,
90,20220310,1,INFLOW,INVOICE,49,10135.87,
91,20220410,1,INFLOW,INVOICE,50,10403.36,
92,20220321,1,INFLOW,INVOICE,51,13567.89,
93,20220330,1,INFLOW,INVOICE,52,17318.12,
94,20220415,1,INFLOW,INVOICE,53,49796.88,
95,20220416,1,INFLOW,INVOICE,54,9713.03,
96,20220318,1,INFLOW,INVOICE,55,5215.92,
97,20220321,1,INFLOW,INVOICE,56,21205.7,
98,20220329,1,INFLOW,INVOICE,57,4224.03,
99,20220323,1,INFLOW,INVOICE,58,7729.64,
100,20220324,1,INFLOW,INVOICE,59,1092.68,
101,20220401,1,INFLOW,INVOICE,60,343.4,
102,20220427,1,INFLOW,INVOICE,61,43963.68,
103,20220428,1,INFLOW,INVOICE,62,24176.13,
104,20220406,1,INFLOW,INVOICE,63,15923.02,
105,20220430,1,INFLOW,INVOICE,64,7032.57,
106,20220301,1,OUTFLOW,BILL,42,16176.33,
107,20220302,1,OUTFLOW,BILL,43,4181.39,
108,20220310,1,OUTFLOW,BILL,44,6146.28,
109,20220304,1,OUTFLOW,BILL,45,10319.63,
110,20220322,1,OUTFLOW,BILL,46,484.44,
111,20220315,1,OUTFLOW,BILL,47,29299.22,
112,20220309,1,OUTFLOW,BILL,48,21418.19,
113,20220310,1,OUTFLOW,BILL,49,2973.54,
114,20220318,1,OUTFLOW,BILL,50,151.7,
115,20220314,1,OUTFLOW,BILL,51,26651.43,
116,20220322,1,OUTFLOW,BILL,52,6838.23,
117,20220316,1,OUTFLOW,BILL,53,7624.59,
118,20220317,1,OUTFLOW,BILL,54,11330.01,
119,20220417,1,OUTFLOW,BILL,55,9410.3,
120,20220321,1,OUTFLOW,BILL,56,28332.14,
121,20220406,1,OUTFLOW,BILL,57,28395.45,
122,20220323,1,OUTFLOW,BILL,58,19857.82,
123,20220324,1,OUTFLOW,BILL,59,9951.13,
124,20220325,1,OUTFLOW,BILL,60,15877.14,
125,20220404,1,OUTFLOW,BILL,61,11120.76,
126,20220405,1,OUTFLOW,BILL,62,8378.56,
127,20220330,1,OUTFLOW,BILL,63,1352.83,
128,20220331,1,OUTFLOW,BILL,64,16397.4,
129,20220401,1,INFLOW,INVOICE,65,41829.34,
130,20220411,1,INFLOW,INVOICE,66,41982.55,
131,20220412,1,INFLOW,INVOICE,67,11891.5,
132,20220506,1,INFLOW,INVOICE,68,13946.45,
133,20220407,1,INFLOW,INVOICE,69,8304.74,
134,20220423,1,INFLOW,INVOICE,70,4843.47,
135,20220418,1,INFLOW,INVOICE,71,5561.75,
136,20220412,1,INFLOW,INVOICE,72,15580.75,
137,20220420,1,INFLOW,INVOICE,73,19481.99,
138,20220514,1,INFLOW,INVOICE,74,21887.62,
139,20220415,1,INFLOW,INVOICE,75,21756.92,
140,20220425,1,INFLOW,INVOICE,76,1334.82,
141,20220419,1,INFLOW,INVOICE,77,9519.5,
142,20220420,1,INFLOW,INVOICE,78,827.41,
143,20220521,1,INFLOW,INVOICE,79,11130.33,
144,20220429,1,INFLOW,INVOICE,80,8130.84,
145,20220510,1,INFLOW,INVOICE,81,30519.07,
146,20220426,1,INFLOW,INVOICE,82,6032.18,
147,20220504,1,INFLOW,INVOICE,83,1737.75,
148,20220513,1,INFLOW,INVOICE,84,2153.7,
149,20220506,1,INFLOW,INVOICE,85,20006.68,
150,20220416,1,OUTFLOW,BILL,65,5045.1,
151,20220504,1,OUTFLOW,BILL,66,7173.43,
152,20220505,1,OUTFLOW,BILL,67,3682.67,
153,20220421,1,OUTFLOW,BILL,68,6538.78,
154,20220414,1,OUTFLOW,BILL,69,10665.28,
155,20220415,1,OUTFLOW,BILL,70,17001.31,
156,20220426,1,OUTFLOW,BILL,71,18344.56,
157,20220512,1,OUTFLOW,BILL,72,21778.84,
158,20220513,1,OUTFLOW,BILL,73,17159.62,
159,20220514,1,OUTFLOW,BILL,74,14381.71,
160,20220422,1,OUTFLOW,BILL,75,3412.8,
161,20220425,1,OUTFLOW,BILL,76,6433.86,
162,20220519,1,OUTFLOW,BILL,77,8175.04,
163,20220420,1,OUTFLOW,BILL,78,1089.05,
164,20220506,1,OUTFLOW,BILL,79,9459.04,
165,20220422,1,OUTFLOW,BILL,80,7215.43,
166,20220425,1,OUTFLOW,BILL,81,20389.6,
167,20220426,1,OUTFLOW,BILL,82,47979.91,
168,20220512,1,OUTFLOW,BILL,83,10218.99,
169,20220505,1,OUTFLOW,BILL,84,4903.71,
170,20220514,1,OUTFLOW,BILL,85,558.44,
171,20220509,1,INFLOW,INVOICE,86,17296.05,
172,20220518,1,INFLOW,INVOICE,87,398.1,
173,20220504,1,INFLOW,INVOICE,88,229.89,
174,20220505,1,INFLOW,INVOICE,89,4063.76,
175,20220506,1,INFLOW,INVOICE,90,14312.89,
176,20220509,1,INFLOW,INVOICE,91,37547.26,
177,20220609,1,INFLOW,INVOICE,92,1402.42,
178,20220511,1,INFLOW,INVOICE,93,7757.82,
179,20220611,1,INFLOW,INVOICE,94,4125.07,
180,20220612,1,INFLOW,INVOICE,95,30143.52,
181,20220531,1,INFLOW,INVOICE,96,15880.98,
182,20220524,1,INFLOW,INVOICE,97,15676.88,
183,20220525,1,INFLOW,INVOICE,98,5440.87,
184,20220603,1,INFLOW,INVOICE,99,4609.96,
185,20220527,1,INFLOW,INVOICE,100,2747.8,
186,20220523,1,INFLOW,INVOICE,101,499.22,
187,20220623,1,INFLOW,INVOICE,102,17210.31,
188,20220601,1,INFLOW,INVOICE,103,14420.17,
189,20220610,1,INFLOW,INVOICE,104,70310.16,
190,20220527,1,INFLOW,INVOICE,105,48994.82,
191,20220614,1,INFLOW,INVOICE,106,6974.29,
192,20220615,1,INFLOW,INVOICE,107,12606.3,
193,20220502,1,OUTFLOW,BILL,86,16670.31,
194,20220503,1,OUTFLOW,BILL,87,11473.24,
195,20220511,1,OUTFLOW,BILL,88,14426.46,
196,20220604,1,OUTFLOW,BILL,89,2837.29,
197,20220521,1,OUTFLOW,BILL,90,1737.01,
198,20220524,1,OUTFLOW,BILL,91,173.59,
199,20220609,1,OUTFLOW,BILL,92,5114.47,
200,20220610,1,OUTFLOW,BILL,93,10560.95,
201,20220611,1,OUTFLOW,BILL,94,5899.91,
202,20220513,1,OUTFLOW,BILL,95,6816.18,
203,20220531,1,OUTFLOW,BILL,96,27783.44,
204,20220524,1,OUTFLOW,BILL,97,5072.01,
205,20220518,1,OUTFLOW,BILL,98,8548.37,
206,20220519,1,OUTFLOW,BILL,99,18137.22,
207,20220619,1,OUTFLOW,BILL,100,5984.01,
208,20220530,1,OUTFLOW,BILL,101,11528.82,
209,20220531,1,OUTFLOW,BILL,102,23495.53,
210,20220601,1,OUTFLOW,BILL,103,35379.31,
211,20220526,1,OUTFLOW,BILL,104,1884.74,
212,20220527,1,OUTFLOW,BILL,105,30942.04,
213,20220530,1,OUTFLOW,BILL,106,8026.81,
214,20220531,1,OUTFLOW,BILL,107,3539.31,
215,20220601,1,INFLOW,INVOICE,108,14610.15,
216,20220602,1,INFLOW,INVOICE,109,21231.93,
217,20220610,1,INFLOW,INVOICE,110,10148.81,
218,20220606,1,INFLOW,INVOICE,111,13689.19,
219,20220614,1,INFLOW,INVOICE,112,30342.62,
220,20220708,1,INFLOW,INVOICE,113,823.99,
221,20220616,1,INFLOW,INVOICE,114,6414.47,
222,20220625,1,INFLOW,INVOICE,115,27548.36,
223,20220713,1,INFLOW,INVOICE,116,49734.36,
224,20220714,1,INFLOW,INVOICE,117,15803.3,
225,20220622,1,INFLOW,INVOICE,118,16745.84,
226,20220616,1,INFLOW,INVOICE,119,2499.35,
227,20220717,1,INFLOW,INVOICE,120,13077.42,
228,20220720,1,INFLOW,INVOICE,121,16769.59,
229,20220706,1,INFLOW,INVOICE,122,6122.47,
230,20220707,1,INFLOW,INVOICE,123,6915.79,
231,20220630,1,INFLOW,INVOICE,124,10443.2,
232,20220624,1,INFLOW,INVOICE,125,447.02,
233,20220627,1,INFLOW,INVOICE,126,8570.47,
234,20220628,1,INFLOW,INVOICE,127,5237.57,
235,20220706,1,INFLOW,INVOICE,128,8747.39,
236,20220730,1,INFLOW,INVOICE,129,2812.47,
237,20220608,1,OUTFLOW,BILL,108,1622.62,
238,20220702,1,OUTFLOW,BILL,109,1912.81,
239,20220603,1,OUTFLOW,BILL,110,3108.84,
240,20220606,1,OUTFLOW,BILL,111,1763.77,
241,20220707,1,OUTFLOW,BILL,112,21034.81,
242,20220623,1,OUTFLOW,BILL,113,774.75,
243,20220624,1,OUTFLOW,BILL,114,6886.5,
244,20220617,1,OUTFLOW,BILL,115,4893.89,
245,20220620,1,OUTFLOW,BILL,116,37411.44,
246,20220621,1,OUTFLOW,BILL,117,1100.74,
247,20220615,1,OUTFLOW,BILL,118,4698.92,
248,20220616,1,OUTFLOW,BILL,119,32320.45,
249,20220617,1,OUTFLOW,BILL,120,18584.58,
250,20220705,1,OUTFLOW,BILL,121,15735.34,
251,20220621,1,OUTFLOW,BILL,122,2763.03,
252,20220629,1,OUTFLOW,BILL,123,1735.95,
253,20220708,1,OUTFLOW,BILL,124,10231.94,
254,20220724,1,OUTFLOW,BILL,125,24551.5,
255,20220627,1,OUTFLOW,BILL,126,7537.14,
256,20220713,1,OUTFLOW,BILL,127,7852.81,
257,20220706,1,OUTFLOW,BILL,128,3042.79,
258,20220630,1,OUTFLOW,BILL,129,13593.75,
259,20220716,1,INFLOW,INVOICE,130,11482.28,
260,20220704,1,INFLOW,INVOICE,131,6893.02,
261,20220804,1,INFLOW,INVOICE,132,32524.92,
262,20220721,1,INFLOW,INVOICE,133,7728.19,
263,20220806,1,INFLOW,INVOICE,134,26304.06,
264,20220715,1,INFLOW,INVOICE,135,8968.3,
265,20220711,1,INFLOW,INVOICE,136,7337.48,
266,20220712,1,INFLOW,INVOICE,137,9633.41,
267,20220728,1,INFLOW,INVOICE,138,5562.13,
268,20220721,1,INFLOW,INVOICE,139,21352.05,
269,20220722,1,INFLOW,INVOICE,140,10834.43,
270,20220725,1,INFLOW,INVOICE,141,4098.06,
271,20220803,1,INFLOW,INVOICE,142,35644.29,
272,20220720,1,INFLOW,INVOICE,143,7511.36,
273,20220728,1,INFLOW,INVOICE,144,12163.21,
274,20220806,1,INFLOW,INVOICE,145,36747.83,
275,20220824,1,INFLOW,INVOICE,146,15179.92,
276,20220825,1,INFLOW,INVOICE,147,1927.96,
277,20220826,1,INFLOW,INVOICE,148,43589.05,
278,20220728,1,INFLOW,INVOICE,149,15323.8,
279,20220729,1,INFLOW,INVOICE,150,6324.86,
280,20220731,1,OUTFLOW,BILL,130,10074.31,
281,20220803,1,OUTFLOW,BILL,131,7951.81,
282,20220720,1,OUTFLOW,BILL,132,22347.84,
283,20220805,1,OUTFLOW,BILL,133,185.66,
284,20220714,1,OUTFLOW,BILL,134,13796.87,
285,20220807,1,OUTFLOW,BILL,135,12604.9,
286,20220726,1,OUTFLOW,BILL,136,19044.1,
287,20220712,1,OUTFLOW,BILL,137,13818.97,
288,20220812,1,OUTFLOW,BILL,138,26512.42,
289,20220729,1,OUTFLOW,BILL,139,48328.22,
290,20220730,1,OUTFLOW,BILL,140,6341.13,
291,20220718,1,OUTFLOW,BILL,141,3900.28,
292,20220726,1,OUTFLOW,BILL,142,8331.12,
293,20220720,1,OUTFLOW,BILL,143,5134.91,
294,20220805,1,OUTFLOW,BILL,144,14431.63,
295,20220729,1,OUTFLOW,BILL,145,36726.05,
296,20220801,1,OUTFLOW,BILL,146,2265.13,
297,20220810,1,OUTFLOW,BILL,147,1606.56,
298,20220811,1,OUTFLOW,BILL,148,4471.94,
299,20220804,1,OUTFLOW,BILL,149,19581.89,
300,20220828,1,OUTFLOW,BILL,150,13591.91,
301,20220808,1,INFLOW,INVOICE,151,11813.73,
302,20220809,1,INFLOW,INVOICE,152,13601.46,
303,20220803,1,INFLOW,INVOICE,153,179.21,
304,20220811,1,INFLOW,INVOICE,154,14809.86,
305,20220820,1,INFLOW,INVOICE,155,2665.64,
306,20220808,1,INFLOW,INVOICE,156,44133.08,
307,20220809,1,INFLOW,INVOICE,157,2188.26,
308,20220825,1,INFLOW,INVOICE,158,7280.75,
309,20220910,1,INFLOW,INVOICE,159,1212.96,
310,20220819,1,INFLOW,INVOICE,160,78423.71,
311,20220822,1,INFLOW,INVOICE,161,9483.95,
312,20220915,1,INFLOW,INVOICE,162,12302.06,
313,20220901,1,INFLOW,INVOICE,163,944.01,
314,20220917,1,INFLOW,INVOICE,164,18846.12,
315,20220903,1,INFLOW,INVOICE,165,3203.29,
316,20220921,1,INFLOW,INVOICE,166,31044.29,
317,20220823,1,INFLOW,INVOICE,167,3121.52,
318,20220908,1,INFLOW,INVOICE,168,2876.54,
319,20220909,1,INFLOW,INVOICE,169,506.24,
320,20220910,1,INFLOW,INVOICE,170,8685.03,
321,20220928,1,INFLOW,INVOICE,171,11312.6,
322,20220830,1,INFLOW,INVOICE,172,924.09,
323,20220831,1,INFLOW,INVOICE,173,20312.69,
324,20220816,1,OUTFLOW,BILL,151,3123.37,
325,20220817,1,OUTFLOW,BILL,152,16796.96,
326,20220803,1,OUTFLOW,BILL,153,4320.31,
327,20220903,1,OUTFLOW,BILL,154,1663.34,
328,20220805,1,OUTFLOW,BILL,155,4424.66,
329,20220907,1,OUTFLOW,BILL,156,20344.63,
330,20220908,1,OUTFLOW,BILL,157,30742.35,
331,20220817,1,OUTFLOW,BILL,158,28160.39,
332,20220826,1,OUTFLOW,BILL,159,8037.87,
333,20220827,1,OUTFLOW,BILL,160,17514.41,
334,20220815,1,OUTFLOW,BILL,161,3642.92,
335,20220816,1,OUTFLOW,BILL,162,5509.53,
336,20220824,1,OUTFLOW,BILL,163,35995.07,
337,20220917,1,OUTFLOW,BILL,164,207.83,
338,20220826,1,OUTFLOW,BILL,165,1419.53,
339,20220829,1,OUTFLOW,BILL,166,3700.99,
340,20220830,1,OUTFLOW,BILL,167,427.04,
341,20220831,1,OUTFLOW,BILL,168,3179.35,
342,20220825,1,OUTFLOW,BILL,169,13891.9,
343,20220902,1,OUTFLOW,BILL,170,8689.68,
344,20220829,1,OUTFLOW,BILL,171,35443.45,
345,20220830,1,OUTFLOW,BILL,172,27008.17,
346,20220915,1,OUTFLOW,BILL,173,6642.45,
347,20220908,1,INFLOW,INVOICE,174,22290.3,
348,20220917,1,INFLOW,INVOICE,175,3929.71,
349,20220920,1,INFLOW,INVOICE,176,50098.31,
350,20221006,1,INFLOW,INVOICE,177,11058.38,
351,20220907,1,INFLOW,INVOICE,178,9845.8,
352,20220923,1,INFLOW,INVOICE,179,14912.39,
353,20220924,1,INFLOW,INVOICE,180,980.37,
354,20220912,1,INFLOW,INVOICE,181,3706.34,
355,20220920,1,INFLOW,INVOICE,182,27299.81,
356,20220914,1,INFLOW,INVOICE,183,1761.41,
357,20221015,1,INFLOW,INVOICE,184,18835.24,
358,20220916,1,INFLOW,INVOICE,185,5736.97,
359,20220919,1,INFLOW,INVOICE,186,10050.24,
360,20221020,1,INFLOW,INVOICE,187,6942.49,
361,20220921,1,INFLOW,INVOICE,188,8958.0,
362,20221007,1,INFLOW,INVOICE,189,25873.71,
363,20220930,1,INFLOW,INVOICE,190,7185.41,
364,20221026,1,INFLOW,INVOICE,191,17030.42,
365,20221012,1,INFLOW,INVOICE,192,13172.81,
366,20221005,1,INFLOW,INVOICE,193,22207.39,
367,20221029,1,INFLOW,INVOICE,194,56287.97,
368,20220930,1,INFLOW,INVOICE,195,26879.29,
369,20220908,1,OUTFLOW,BILL,174,1016.29,
370,20220909,1,OUTFLOW,BILL,175,26374.77,
371,20220905,1,OUTFLOW,BILL,176,1556.76,
372,20221006,1,OUTFLOW,BILL,177,31747.6,
373,20220907,1,OUTFLOW,BILL,178,6249.03,
374,20220923,1,OUTFLOW,BILL,179,2166.21,
375,20220924,1,OUTFLOW,BILL,180,8260.11,
376,20220912,1,OUTFLOW,BILL,181,21829.7,
377,20221013,1,OUTFLOW,BILL,182,13941.35,
378,20220929,1,OUTFLOW,BILL,183,17382.08,
379,20221015,1,OUTFLOW,BILL,184,11376.88,
380,20221001,1,OUTFLOW,BILL,185,12470.05,
381,20221004,1,OUTFLOW,BILL,186,20016.47,
382,20220920,1,OUTFLOW,BILL,187,3039.22,
383,20220928,1,OUTFLOW,BILL,188,7112.6,
384,20220922,1,OUTFLOW,BILL,189,2645.34,
385,20220930,1,OUTFLOW,BILL,190,46508.54,
386,20221011,1,OUTFLOW,BILL,191,30509.36,
387,20221004,1,OUTFLOW,BILL,192,425.61,
388,20220928,1,OUTFLOW,BILL,193,12937.48,
389,20221029,1,OUTFLOW,BILL,194,27442.2,
390,20221007,1,OUTFLOW,BILL,195,2107.2,
391,20221018,1,INFLOW,INVOICE,196,15199.37,
392,20221011,1,INFLOW,INVOICE,197,5543.01,
393,20221104,1,INFLOW,INVOICE,198,8881.7,
394,20221105,1,INFLOW,INVOICE,199,1681.66,
395,20221014,1,INFLOW,INVOICE,200,7169.19,
396,20221017,1,INFLOW,INVOICE,201,12925.09,
397,20221026,1,INFLOW,INVOICE,202,23040.78,
398,20221111,1,INFLOW,INVOICE,203,58.61,
399,20221112,1,INFLOW,INVOICE,204,11012.04,
400,20221014,1,INFLOW,INVOICE,205,6161.58,
401,20221017,1,INFLOW,INVOICE,206,33502.26,
402,20221018,1,INFLOW,INVOICE,207,21981.69,
403,20221026,1,INFLOW,INVOICE,208,15551.18,
404,20221027,1,INFLOW,INVOICE,209,5677.46,
405,20221028,1,INFLOW,INVOICE,210,42167.74,
406,20221024,1,INFLOW,INVOICE,211,806.9,
407,20221109,1,INFLOW,INVOICE,212,2027.08,
408,20221102,1,INFLOW,INVOICE,213,8689.31,
409,20221027,1,INFLOW,INVOICE,214,2323.5,
410,20221112,1,INFLOW,INVOICE,215,54779.97,
411,20221031,1,INFLOW,INVOICE,216,27965.32,
412,20221102,1,OUTFLOW,BILL,196,7637.42,
413,20221019,1,OUTFLOW,BILL,197,9510.79,
414,20221104,1,OUTFLOW,BILL,198,7785.44,
415,20221013,1,OUTFLOW,BILL,199,3152.01,
416,20221106,1,OUTFLOW,BILL,200,7572.23,
417,20221017,1,OUTFLOW,BILL,201,7065.64,
418,20221011,1,OUTFLOW,BILL,202,58655.76,
419,20221012,1,OUTFLOW,BILL,203,23813.82,
420,20221112,1,OUTFLOW,BILL,204,6509.24,
421,20221021,1,OUTFLOW,BILL,205,10199.35,
422,20221116,1,OUTFLOW,BILL,206,14408.08,
423,20221102,1,OUTFLOW,BILL,207,371.1,
424,20221019,1,OUTFLOW,BILL,208,23560.51,
425,20221119,1,OUTFLOW,BILL,209,20569.47,
426,20221105,1,OUTFLOW,BILL,210,6393.96,
427,20221024,1,OUTFLOW,BILL,211,5189.02,
428,20221025,1,OUTFLOW,BILL,212,3333.47,
429,20221102,1,OUTFLOW,BILL,213,6771.61,
430,20221126,1,OUTFLOW,BILL,214,474.67,
431,20221028,1,OUTFLOW,BILL,215,19992.57,
432,20221115,1,OUTFLOW,BILL,216,377.14,
433,20221201,1,INFLOW,INVOICE,217,15775.1,
434,20221109,1,INFLOW,INVOICE,218,2031.9,
435,20221118,1,INFLOW,INVOICE,219,19750.68,
436,20221204,1,INFLOW,INVOICE,220,20690.04,
437,20221107,1,INFLOW,INVOICE,221,8210.62,
438,20221115,1,INFLOW,INVOICE,222,74.27,
439,20221116,1,INFLOW,INVOICE,223,3922.47,
440,20221210,1,INFLOW,INVOICE,224,11124.52,
441,20221118,1,INFLOW,INVOICE,225,46063.74,
442,20221121,1,INFLOW,INVOICE,226,11584.05,
443,20221115,1,INFLOW,INVOICE,227,3487.85,
444,20221216,1,INFLOW,INVOICE,228,11653.28,
445,20221202,1,INFLOW,INVOICE,229,9002.49,
446,20221118,1,INFLOW,INVOICE,230,17546.23,
447,20221206,1,INFLOW,INVOICE,231,1311.79,
448,20221207,1,INFLOW,INVOICE,232,16595.35,
449,20221130,1,INFLOW,INVOICE,233,9034.82,
450,20221209,1,INFLOW,INVOICE,234,38220.1,
451,20221210,1,INFLOW,INVOICE,235,4850.3,
452,20221213,1,INFLOW,INVOICE,236,11609.53,
453,20221206,1,INFLOW,INVOICE,237,31171.58,
454,20221207,1,INFLOW,INVOICE,238,1253.9,
455,20221108,1,OUTFLOW,BILL,217,47870.56,
456,20221202,1,OUTFLOW,BILL,218,4543.99,
457,20221203,1,OUTFLOW,BILL,219,4911.48,
458,20221119,1,OUTFLOW,BILL,220,1461.73,
459,20221122,1,OUTFLOW,BILL,221,12956.99,
460,20221108,1,OUTFLOW,BILL,222,9679.04,
461,20221209,1,OUTFLOW,BILL,223,2040.7,
462,20221117,1,OUTFLOW,BILL,224,703.33,
463,20221126,1,OUTFLOW,BILL,225,9334.33,
464,20221114,1,OUTFLOW,BILL,226,8694.58,
465,20221215,1,OUTFLOW,BILL,227,2611.22,
466,20221201,1,OUTFLOW,BILL,228,24650.21,
467,20221217,1,OUTFLOW,BILL,229,1339.73,
468,20221125,1,OUTFLOW,BILL,230,4632.2,
469,20221128,1,OUTFLOW,BILL,231,23524.64,
470,20221129,1,OUTFLOW,BILL,232,4452.49,
471,20221123,1,OUTFLOW,BILL,233,8324.56,
472,20221201,1,OUTFLOW,BILL,234,4146.26,
473,20221210,1,OUTFLOW,BILL,235,2621.98,
474,20221128,1,OUTFLOW,BILL,236,33817.82,
475,20221129,1,OUTFLOW,BILL,237,4307.26,
476,20221215,1,OUTFLOW,BILL,238,18368.11,
477,20221216,1,INFLOW,INVOICE,239,20335.17,
478,20221209,1,INFLOW,INVOICE,240,25604.73,
479,20230104,1,INFLOW,INVOICE,241,17324.0,
480,20221213,1,INFLOW,INVOICE,242,207.4,
481,20221214,1,INFLOW,INVOICE,243,8347.67,
482,20221215,1,INFLOW,INVOICE,244,15402.53,
483,20221224,1,INFLOW,INVOICE,245,1942.58,
484,20221227,1,INFLOW,INVOICE,246,9119.43,
485,20230112,1,INFLOW,INVOICE,247,713.23,
486,20221221,1,INFLOW,INVOICE,248,1728.59,
487,20221222,1,INFLOW,INVOICE,249,10681.69,
488,20221231,1,INFLOW,INVOICE,250,3007.55,
489,20230103,1,INFLOW,INVOICE,251,17705.99,
490,20230119,1,INFLOW,INVOICE,252,24701.45,
491,20221228,1,INFLOW,INVOICE,253,34056.8,
492,20221229,1,INFLOW,INVOICE,254,4717.23,
493,20230122,1,INFLOW,INVOICE,255,3871.71,
494,20230125,1,INFLOW,INVOICE,256,2332.91,
495,20221227,1,INFLOW,INVOICE,257,21371.03,
496,20230112,1,INFLOW,INVOICE,258,25891.39,
497,20230113,1,INFLOW,INVOICE,259,677.93,
498,20230106,1,INFLOW,INVOICE,260,58132.19,
